ECR & Wolfe, ECR & Cali, Bus route
    12:31AM,    12:56AM,        22
    01:15AM,    01:40AM,        22
    01:43AM,    02:08AM,        22
    02:12AM,    02:37AM,        22
    03:14AM,    03:37AM,        22
    04:09AM,    04:35AM,        22
    05:06AM,    05:33AM,        22
    06:01AM,    06:31AM,        22
    06:19AM,    06:49AM,        22
    06:40AM,    07:11AM,        22
    06:57AM,    07:29AM,        22
    07:12AM,    07:44AM,        22
    07:27AM,    08:01AM,        22
    07:44AM,    08:19AM,        22
    07:59AM,    08:34AM,        22
    08:14AM,    08:51AM,        22
    08:33AM,    09:10AM,        22
    08:48AM,    09:26AM,        22
    08:56AM,    09:25AM,       522
    09:03AM,    09:43AM,        22
    09:19AM,    10:00AM,        22
    09:18AM,    09:48AM,       522
    09:34AM,    10:15AM,        22
    09:34AM,    10:04AM,       522
    09:50AM,    10:33AM,        22
    09:52AM,    10:23AM,       522
    10:05AM,    10:48AM,        22
    10:07AM,    10:38AM,       522
    10:20AM,    11:03AM,        22
    10:25AM,    10:57AM,       522
    10:37AM,    11:20AM,        22
    10:39AM,    11:11AM,       522
    10:52AM,    11:35AM,        22
    10:52AM,    11:24AM,       522
    11:08AM,    11:51AM,        22
    11:06AM,    11:38AM,       522
    11:23AM,    12:06PM,        22
    11:20AM,    11:53AM,       522
    11:38AM,    12:22PM,        22
    11:37AM,    12:10PM,       522
    11:53AM,    12:37PM,        22
    11:52AM,    12:25PM,       522
    12:08PM,    12:53PM,        22
    12:07PM,    12:40PM,       522
    12:23PM,    01:08PM,        22
    12:25PM,    01:00PM,       522
    12:39PM,    01:24PM,        22
    12:40PM,    01:16PM,       522
    12:53PM,    01:39PM,        22
    12:55PM,    01:32PM,       522
    01:08PM,    01:54PM,        22
    01:11PM,    01:49PM,       522
    01:23PM,    02:09PM,        22
    01:28PM,    02:05PM,       522
    01:38PM,    02:24PM,        22
    01:43PM,    02:19PM,       522
    01:53PM,    02:39PM,        22
    01:59PM,    02:35PM,       522
    02:08PM,    02:54PM,        22
    02:15PM,    02:51PM,       522
    02:23PM,    03:09PM,        22
    02:31PM,    03:07PM,       522
    02:38PM,    03:24PM,        22
    02:48PM,    03:24PM,       522
    02:53PM,    03:39PM,        22
    03:04PM,    03:39PM,       522
    03:09PM,    03:55PM,        22
    03:17PM,    03:52PM,       522
    03:24PM,    04:09PM,        22
    03:33PM,    04:07PM,       522
    03:39PM,    04:24PM,        22
    03:53PM,    04:38PM,        22
    03:49PM,    04:21PM,       522
    04:08PM,    04:52PM,        22
    04:05PM,    04:37PM,       522
    04:23PM,    05:05PM,        22
    04:21PM,    04:53PM,       522
    04:38PM,    05:20PM,        22
    04:36PM,    05:08PM,       522
    04:53PM,    05:35PM,        22
    04:52PM,    05:24PM,       522
    05:08PM,    05:50PM,        22
    05:08PM,    05:39PM,       522
    05:23PM,    06:04PM,        22
    05:23PM,    05:54PM,       522
    05:37PM,    06:16PM,        22
    05:38PM,    06:08PM,       522
    05:52PM,    06:31PM,        22
    05:54PM,    06:24PM,       522
    06:07PM,    06:46PM,        22
    06:10PM,    06:40PM,       522
    06:22PM,    07:01PM,        22
    06:25PM,    06:57PM,       522
    06:37PM,    07:16PM,        22
    06:42PM,    07:16PM,       522
    06:52PM,    07:31PM,        22
    07:02PM,    07:36PM,       522
    07:07PM,    07:45PM,        22
    07:22PM,    08:00PM,        22
    07:20PM,    07:54PM,       522
    07:37PM,    08:14PM,        22
    07:40PM,    08:14PM,       522
    07:52PM,    08:29PM,        22
    08:01PM,    08:35PM,       522
    08:06PM,    08:41PM,        22
    08:22PM,    08:57PM,        22
    08:21PM,    08:53PM,       522
    08:40PM,    09:15PM,        22
    08:43PM,    09:14PM,       522
    08:59PM,    09:33PM,        22
    09:13PM,    09:44PM,       522
    09:21PM,    09:55PM,        22
    09:42PM,    10:15PM,        22
    09:41PM,    10:10PM,       522
    10:05PM,    10:38PM,        22
    10:11PM,    10:37PM,       522
    10:34PM,    11:05PM,        22
    10:40PM,    11:06PM,       522
    11:04PM,    11:34PM,        22
    11:31PM,    12:00AM,        22
    11:59PM,    12:25AM,        22
