Camp & Win, Wolfe &ECR, Bus route
   07:00AM,    07:24AM,        26
   07:55AM,    08:20AM,        26
   08:24AM,    08:50AM,        26
   08:52AM,    09:20AM,        26
   09:19AM,    09:49AM,        26
   09:49AM,    10:19AM,        26
   10:19AM,    10:49AM,        26
   10:49AM,    11:19AM,        26
   11:19AM,    11:49AM,        26
   11:48AM,    12:19PM,        26
   12:18PM,    12:49PM,        26
   12:48PM,    01:19PM,        26
   01:17PM,    01:48PM,        26
   01:47PM,    02:18PM,        26
   02:17PM,    02:48PM,        26
   02:48PM,    03:19PM,        26
   03:18PM,    03:49PM,        26
   03:48PM,    04:19PM,        26
   04:18PM,    04:49PM,        26
   04:48PM,    05:19PM,        26
   05:18PM,    05:49PM,        26
   05:48PM,    06:19PM,        26
   06:20PM,    06:49PM,        26
   06:49PM,    07:18PM,        26
   07:46PM,    08:15PM,        26
   08:49PM,    09:16PM,        26
   10:16PM,    10:40PM,        26
