Win & Camp, SC Transit Center, Bus route
   06:58AM,           07:20AM,        60
   07:55AM,           08:20AM,        60
   08:25AM,           08:50AM,        60
   08:52AM,           09:19AM,        60
   09:20AM,           09:48AM,        60
   09:51AM,           10:19AM,        60
   10:23AM,           10:51AM,        60
   10:48AM,           11:18AM,        60
   11:17AM,           11:47AM,        60
   11:46AM,           12:17PM,        60
   12:16PM,           12:47PM,        60
   12:45PM,           01:17PM,        60
   01:15PM,           01:47PM,        60
   01:45PM,           02:17PM,        60
   02:15PM,           02:47PM,        60
   02:45PM,           03:17PM,        60
   03:15PM,           03:48PM,        60
   03:43PM,           04:17PM,        60
   04:12PM,           04:47PM,        60
   04:43PM,           05:17PM,        60
   05:15PM,           05:47PM,        60
   05:45PM,           06:17PM,        60
   06:15PM,           06:47PM,        60
   07:04PM,           07:35PM,        60
   07:50PM,           08:19PM,        60
   08:50PM,           09:19PM,        60
