ECR & Cali, ECR & Wolfe, Bus route
   12:14AM,     12:42AM,        22
   12:44AM,     01:12AM,        22
   02:04AM,     02:31AM,        22
   02:59AM,     03:22AM,        22
   03:43AM,     04:08AM,        22
   04:38AM,     05:04AM,        22
   05:37AM,     06:03AM,        22
   06:00AM,     06:27AM,        22
   06:19AM,     06:48AM,        22
   06:42AM,     07:12AM,        22
   07:01AM,     07:33AM,        22
   07:16AM,     07:50AM,        22
   07:33AM,     08:07AM,        22
   07:49AM,     08:23AM,        22
   08:01AM,     08:30AM,       522
   08:04AM,     08:38AM,        22
   08:18AM,     08:53AM,        22
   08:32AM,     09:08AM,        22
   08:39AM,     09:10AM,       522
   08:44AM,     09:21AM,        22
   08:56AM,     09:27AM,       522
   08:59AM,     09:36AM,        22
   09:10AM,     09:41AM,       522
   09:13AM,     09:51AM,        22
   09:25AM,     09:56AM,       522
   09:27AM,     10:05AM,        22
   09:38AM,     10:10AM,       522
   09:41AM,     10:19AM,        22
   09:52AM,     10:24AM,       522
   09:55AM,     10:34AM,        22
   10:07AM,     10:48AM,        22
   10:08AM,     10:40AM,       522
   10:21AM,     11:02AM,        22
   10:22AM,     10:56AM,       522
   10:34AM,     11:17AM,        22
   10:38AM,     11:12AM,       522
   10:49AM,     11:32AM,        22
   10:55AM,     11:29AM,       522
   11:03AM,     11:47AM,        22
   11:11AM,     11:46AM,       522
   11:17AM,     12:02PM,        22
   11:26AM,     12:01PM,       522
   11:31AM,     12:17PM,        22
   11:41AM,     12:16PM,       522
   11:46AM,     12:32PM,        22
   11:55AM,     12:30PM,       522
   12:00PM,     12:46PM,        22
   12:11PM,     12:46PM,       522
   12:13PM,     01:01PM,        22
   12:27PM,     01:02PM,       522
   12:28PM,     01:16PM,        22
   12:43PM,     01:18PM,       522
   12:44PM,     01:32PM,        22
   12:59PM,     01:35PM,       522
   12:59PM,     01:47PM,        22
   01:14PM,     01:50PM,       522
   01:14PM,     02:02PM,        22
   01:29PM,     02:17PM,        22
   01:30PM,     02:05PM,       522
   01:44PM,     02:32PM,        22
   01:46PM,     02:21PM,       522
   01:59PM,     02:47PM,        22
   02:02PM,     02:37PM,       522
   02:14PM,     03:02PM,        22
   02:18PM,     02:53PM,       522
   02:29PM,     03:17PM,        22
   02:34PM,     03:10PM,       522
   02:44PM,     03:32PM,        22
   02:50PM,     03:24PM,       522
   03:01PM,     03:48PM,        22
   03:06PM,     03:40PM,       522
   03:16PM,     04:02PM,        22
   03:23PM,     03:57PM,       522
   03:31PM,     04:17PM,        22
   03:39PM,     04:13PM,       522
   03:46PM,     04:32PM,        22
   03:55PM,     04:28PM,       522
   04:01PM,     04:47PM,        22
   04:11PM,     04:44PM,       522
   04:16PM,     05:02PM,        22
   04:27PM,     04:59PM,       522
   04:32PM,     05:17PM,        22
   04:42PM,     05:14PM,       522
   04:48PM,     05:32PM,        22
   04:57PM,     05:29PM,       522
   05:03PM,     05:47PM,        22
   05:12PM,     05:45PM,       522
   05:18PM,     06:02PM,        22
   05:27PM,     06:00PM,       522
   05:33PM,     06:17PM,        22
   05:42PM,     06:15PM,       522
   05:49PM,     06:32PM,        22
   05:59PM,     06:32PM,       522
   06:07PM,     06:48PM,        22
   06:17PM,     06:50PM,       522
   06:23PM,     07:03PM,        22
   06:36PM,     07:09PM,       522
   06:40PM,     07:19PM,        22
   06:56PM,     07:35PM,        22
   06:57PM,     07:30PM,       522
   07:13PM,     07:52PM,        22
   07:24PM,     07:58PM,       522
   07:31PM,     08:09PM,        22
   07:49PM,     08:27PM,        22
   07:54PM,     08:28PM,       522
   08:10PM,     08:47PM,        22
   08:22PM,     08:54PM,       522
   08:31PM,     09:07PM,        22
   08:50PM,     09:26PM,        22
   08:52PM,     09:22PM,       522
   09:09PM,     09:45PM,        22
   09:20PM,     09:50PM,       522
   09:30PM,     10:05PM,        22
   09:50PM,     10:18PM,       522
   09:53PM,     10:27PM,        22
   10:14PM,     10:48PM,        22
   10:34PM,     11:08PM,        22
   10:57PM,     11:30PM,        22
   11:21PM,     11:52PM,        22
   11:43PM,     12:13AM,        22
