ECR & Cali, SC Transit Center, Bus route
   12:14AM,           12:56AM,        22
   12:44AM,           01:26AM,        22
   02:04AM,           02:44AM,        22
   02:59AM,           03:35AM,        22
   03:43AM,           04:21AM,        22
   04:38AM,           05:18AM,        22
   05:37AM,           06:18AM,        22
   06:00AM,           06:42AM,        22
   06:19AM,           07:04AM,        22
   06:42AM,           07:28AM,        22
   07:01AM,           07:50AM,        22
   07:16AM,           08:07AM,        22
   07:33AM,           08:24AM,        22
   07:49AM,           08:41AM,        22
   08:01AM,           08:43AM,       522
   08:04AM,           08:56AM,        22
   08:18AM,           09:11AM,        22
   08:32AM,           09:26AM,        22
   08:39AM,           09:24AM,       522
   08:44AM,           09:41AM,        22
   08:56AM,           09:41AM,       522
   08:59AM,           09:56AM,        22
   09:10AM,           09:55AM,       522
   09:13AM,           10:11AM,        22
   09:25AM,           10:10AM,       522
   09:27AM,           10:26AM,        22
   09:38AM,           10:25AM,       522
   09:41AM,           10:40AM,        22
   09:52AM,           10:39AM,       522
   09:55AM,           10:55AM,        22
   10:07AM,           11:10AM,        22
   10:08AM,           10:56AM,       522
   10:21AM,           11:25AM,        22
   10:22AM,           11:12AM,       522
   10:34AM,           11:40AM,        22
   10:38AM,           11:28AM,       522
   10:49AM,           11:55AM,        22
   10:55AM,           11:45AM,       522
   11:03AM,           12:10PM,        22
   11:11AM,           12:02PM,       522
   11:17AM,           12:25PM,        22
   11:26AM,           12:18PM,       522
   11:31AM,           12:40PM,        22
   11:41AM,           12:33PM,       522
   11:46AM,           12:55PM,        22
   11:55AM,           12:47PM,       522
   12:00PM,           01:10PM,        22
   12:11PM,           01:03PM,       522
   12:13PM,           01:25PM,        22
   12:27PM,           01:19PM,       522
   12:28PM,           01:40PM,        22
   12:43PM,           01:35PM,       522
   12:44PM,           01:56PM,        22
   12:59PM,           01:52PM,       522
   12:59PM,           02:11PM,        22
   01:14PM,           02:07PM,       522
   01:14PM,           02:26PM,        22
   01:29PM,           02:41PM,        22
   01:30PM,           02:22PM,       522
   01:44PM,           02:56PM,        22
   01:46PM,           02:38PM,       522
   01:59PM,           03:11PM,        22
   02:02PM,           02:54PM,       522
   02:14PM,           03:26PM,        22
   02:18PM,           03:10PM,       522
   02:29PM,           03:41PM,        22
   02:34PM,           03:27PM,       522
   02:44PM,           03:56PM,        22
   02:50PM,           03:42PM,       522
   03:01PM,           04:10PM,        22
   03:06PM,           03:58PM,       522
   03:16PM,           04:24PM,        22
   03:23PM,           04:14PM,       522
   03:31PM,           04:39PM,        22
   03:39PM,           04:30PM,       522
   03:46PM,           04:54PM,        22
   03:55PM,           04:45PM,       522
   04:01PM,           05:09PM,        22
   04:11PM,           05:01PM,       522
   04:16PM,           05:24PM,        22
   04:27PM,           05:16PM,       522
   04:32PM,           05:39PM,        22
   04:42PM,           05:31PM,       522
   04:48PM,           05:54PM,        22
   04:57PM,           05:46PM,       522
   05:03PM,           06:09PM,        22
   05:12PM,           06:02PM,       522
   05:18PM,           06:24PM,        22
   05:27PM,           06:17PM,       522
   05:33PM,           06:39PM,        22
   05:42PM,           06:32PM,       522
   05:49PM,           06:54PM,        22
   05:59PM,           06:49PM,       522
   06:07PM,           07:09PM,        22
   06:17PM,           07:07PM,       522
   06:23PM,           07:24PM,        22
   06:36PM,           07:26PM,       522
   06:40PM,           07:40PM,        22
   06:56PM,           07:55PM,        22
   06:57PM,           07:47PM,       522
   07:13PM,           08:12PM,        22
   07:24PM,           08:15PM,       522
   07:31PM,           08:29PM,        22
   07:49PM,           08:47PM,        22
   07:54PM,           08:45PM,       522
   08:10PM,           09:06PM,        22
   08:22PM,           09:10PM,       522
   08:31PM,           09:26PM,        22
   08:50PM,           09:45PM,        22
   08:52PM,           09:38PM,       522
   09:09PM,           10:04PM,        22
   09:20PM,           10:04PM,       522
   09:30PM,           10:24PM,        22
   09:50PM,           10:31PM,       522
   09:53PM,           10:44PM,        22
   10:14PM,           11:05PM,        22
   10:34PM,           11:25PM,        22
   10:57PM,           11:47PM,        22
   11:21PM,           12:07AM,        22
   11:43PM,           12:27AM,        22
