SC Transit Center, Win & Camp, Bus route
          08:12AM,    08:37AM,        60
          08:44AM,    09:09AM,        60
          09:14AM,    09:40AM,        60
          09:42AM,    10:11AM,        60
          10:17AM,    10:46AM,        60
          10:47AM,    11:16AM,        60
          11:17AM,    11:47AM,        60
          11:47AM,    12:17PM,        60
          12:17PM,    12:48PM,        60
          12:46PM,    01:17PM,        60
          01:15PM,    01:48PM,        60
          01:45PM,    02:19PM,        60
          02:15PM,    02:49PM,        60
          02:45PM,    03:19PM,        60
          03:15PM,    03:50PM,        60
          03:45PM,    04:21PM,        60
          04:14PM,    04:50PM,        60
          04:45PM,    05:19PM,        60
          05:16PM,    05:49PM,        60
          05:47PM,    06:19PM,        60
          06:17PM,    06:49PM,        60
          06:47PM,    07:18PM,        60
          07:12PM,    07:40PM,        60
          08:12PM,    08:39PM,        60
          09:08PM,    09:34PM,        60
          10:13PM,    10:37PM,        60
