ECR & Wolfe, ECR & Cali, Bus route
    12:30AM,    12:57AM,        22
    01:13AM,    01:40AM,        22
    02:09AM,    02:33AM,        22
    03:07AM,    03:31AM,        22
    04:07AM,    04:32AM,        22
    05:04AM,    05:31AM,        22
    06:01AM,    06:30AM,        22
    06:25AM,    06:55AM,        22
    06:49AM,    07:19AM,        22
    07:10AM,    07:40AM,        22
    07:25AM,    07:55AM,        22
    07:43AM,    08:16AM,        22
    07:58AM,    08:31AM,        22
    08:14AM,    08:47AM,        22
    08:31AM,    09:05AM,        22
    08:46AM,    09:21AM,        22
    09:01AM,    09:36AM,        22
    09:17AM,    09:53AM,        22
    09:32AM,    10:08AM,        22
    09:29AM,    09:58AM,       522
    09:47AM,    10:25AM,        22
    09:50AM,    10:19AM,       522
    10:05AM,    10:43AM,        22
    10:08AM,    10:39AM,       522
    10:20AM,    10:58AM,        22
    10:23AM,    10:53AM,       522
    10:35AM,    11:13AM,        22
    10:39AM,    11:10AM,       522
    10:50AM,    11:29AM,        22
    10:54AM,    11:27AM,       522
    11:05AM,    11:45AM,        22
    11:09AM,    11:42AM,       522
    11:21AM,    12:01PM,        22
    11:25AM,    11:57AM,       522
    11:37AM,    12:19PM,        22
    11:40AM,    12:12PM,       522
    11:53AM,    12:35PM,        22
    11:55AM,    12:27PM,       522
    12:08PM,    12:50PM,        22
    12:09PM,    12:41PM,       522
    12:23PM,    01:05PM,        22
    12:24PM,    12:57PM,       522
    12:38PM,    01:21PM,        22
    12:40PM,    01:13PM,       522
    12:53PM,    01:36PM,        22
    12:56PM,    01:30PM,       522
    01:08PM,    01:51PM,        22
    01:11PM,    01:45PM,       522
    01:23PM,    02:06PM,        22
    01:25PM,    02:00PM,       522
    01:38PM,    02:21PM,        22
    01:42PM,    02:17PM,       522
    01:53PM,    02:36PM,        22
    01:58PM,    02:32PM,       522
    02:08PM,    02:51PM,        22
    02:11PM,    02:44PM,       522
    02:23PM,    03:06PM,        22
    02:26PM,    02:57PM,       522
    02:38PM,    03:21PM,        22
    02:41PM,    03:12PM,       522
    02:53PM,    03:36PM,        22
    02:56PM,    03:27PM,       522
    03:08PM,    03:51PM,        22
    03:11PM,    03:42PM,       522
    03:23PM,    04:06PM,        22
    03:25PM,    03:56PM,       522
    03:38PM,    04:20PM,        22
    03:40PM,    04:11PM,       522
    03:53PM,    04:35PM,        22
    03:56PM,    04:27PM,       522
    04:08PM,    04:50PM,        22
    04:12PM,    04:44PM,       522
    04:23PM,    05:03PM,        22
    04:28PM,    05:00PM,       522
    04:38PM,    05:18PM,        22
    04:44PM,    05:16PM,       522
    04:53PM,    05:33PM,        22
    04:59PM,    05:31PM,       522
    05:07PM,    05:46PM,        22
    05:14PM,    05:46PM,       522
    05:22PM,    06:00PM,        22
    05:30PM,    06:01PM,       522
    05:37PM,    06:14PM,        22
    05:44PM,    06:15PM,       522
    05:52PM,    06:29PM,        22
    06:00PM,    06:31PM,       522
    06:07PM,    06:44PM,        22
    06:18PM,    06:49PM,       522
    06:22PM,    06:59PM,        22
    06:37PM,    07:14PM,        22
    06:38PM,    07:09PM,       522
    06:51PM,    07:27PM,        22
    06:58PM,    07:29PM,       522
    07:06PM,    07:42PM,        22
    07:21PM,    07:57PM,        22
    07:39PM,    08:15PM,        22
    07:58PM,    08:33PM,        22
    08:17PM,    08:51PM,        22
    08:37PM,    09:11PM,        22
    08:55PM,    09:28PM,        22
    09:15PM,    09:46PM,        22
    09:34PM,    10:04PM,        22
    10:02PM,    10:32PM,        22
    10:32PM,    11:02PM,        22
    11:01PM,    11:30PM,        22
    11:29PM,    11:58PM,        22
    11:58PM,    12:25AM,        22
