SC Transit Center, ECR & Cali, Bus route
          12:15AM,    12:57AM,        22
          12:59AM,    01:40AM,        22
          01:55AM,    02:33AM,        22
          02:55AM,    03:31AM,        22
          03:55AM,    04:32AM,        22
          04:52AM,    05:31AM,        22
          05:47AM,    06:30AM,        22
          06:11AM,    06:55AM,        22
          06:35AM,    07:19AM,        22
          06:56AM,    07:40AM,        22
          07:11AM,    07:55AM,        22
          07:27AM,    08:16AM,        22
          07:42AM,    08:31AM,        22
          07:58AM,    08:47AM,        22
          08:13AM,    09:05AM,        22
          08:28AM,    09:21AM,        22
          08:43AM,    09:36AM,        22
          08:59AM,    09:53AM,        22
          09:14AM,    10:08AM,        22
          09:15AM,    09:58AM,       522
          09:29AM,    10:25AM,        22
          09:35AM,    10:19AM,       522
          09:45AM,    10:43AM,        22
          09:53AM,    10:39AM,       522
          10:00AM,    10:58AM,        22
          10:08AM,    10:53AM,       522
          10:15AM,    11:13AM,        22
          10:23AM,    11:10AM,       522
          10:30AM,    11:29AM,        22
          10:38AM,    11:27AM,       522
          10:45AM,    11:45AM,        22
          10:53AM,    11:42AM,       522
          11:00AM,    12:01PM,        22
          11:08AM,    11:57AM,       522
          11:16AM,    12:19PM,        22
          11:23AM,    12:12PM,       522
          11:31AM,    12:35PM,        22
          11:38AM,    12:27PM,       522
          11:46AM,    12:50PM,        22
          11:53AM,    12:41PM,       522
          12:01PM,    01:05PM,        22
          12:08PM,    12:57PM,       522
          12:16PM,    01:21PM,        22
          12:23PM,    01:13PM,       522
          12:31PM,    01:36PM,        22
          12:39PM,    01:30PM,       522
          12:46PM,    01:51PM,        22
          12:54PM,    01:45PM,       522
          01:01PM,    02:06PM,        22
          01:08PM,    02:00PM,       522
          01:16PM,    02:21PM,        22
          01:24PM,    02:17PM,       522
          01:31PM,    02:36PM,        22
          01:40PM,    02:32PM,       522
          01:46PM,    02:51PM,        22
          01:54PM,    02:44PM,       522
          02:01PM,    03:06PM,        22
          02:09PM,    02:57PM,       522
          02:16PM,    03:21PM,        22
          02:24PM,    03:12PM,       522
          02:31PM,    03:36PM,        22
          02:39PM,    03:27PM,       522
          02:46PM,    03:51PM,        22
          02:54PM,    03:42PM,       522
          03:01PM,    04:06PM,        22
          03:08PM,    03:56PM,       522
          03:16PM,    04:20PM,        22
          03:23PM,    04:11PM,       522
          03:31PM,    04:35PM,        22
          03:39PM,    04:27PM,       522
          03:46PM,    04:50PM,        22
          03:55PM,    04:44PM,       522
          04:01PM,    05:03PM,        22
          04:11PM,    05:00PM,       522
          04:16PM,    05:18PM,        22
          04:27PM,    05:16PM,       522
          04:31PM,    05:33PM,        22
          04:42PM,    05:31PM,       522
          04:46PM,    05:46PM,        22
          04:57PM,    05:46PM,       522
          05:01PM,    06:00PM,        22
          05:12PM,    06:01PM,       522
          05:16PM,    06:14PM,        22
          05:27PM,    06:15PM,       522
          05:31PM,    06:29PM,        22
          05:43PM,    06:31PM,       522
          05:46PM,    06:44PM,        22
          06:01PM,    06:49PM,       522
          06:01PM,    06:59PM,        22
          06:16PM,    07:14PM,        22
          06:20PM,    07:09PM,       522
          06:30PM,    07:27PM,        22
          06:40PM,    07:29PM,       522
          06:45PM,    07:42PM,        22
          07:00PM,    07:57PM,        22
          07:19PM,    08:15PM,        22
          07:38PM,    08:33PM,        22
          07:58PM,    08:51PM,        22
          08:18PM,    09:11PM,        22
          08:37PM,    09:28PM,        22
          08:57PM,    09:46PM,        22
          09:17PM,    10:04PM,        22
          09:45PM,    10:32PM,        22
          10:15PM,    11:02PM,        22
          10:45PM,    11:30PM,        22
          11:13PM,    11:58PM,        22
          11:43PM,    12:25AM,        22
