Camp & Win, Wolfe &ECR, Bus route
   07:00AM,    07:23AM,        26
   07:57AM,    08:21AM,        26
   08:26AM,    08:51AM,        26
   08:53AM,    09:21AM,        26
   09:22AM,    09:50AM,        26
   09:50AM,    10:19AM,        26
   10:21AM,    10:50AM,        26
   10:50AM,    11:20AM,        26
   11:19AM,    11:49AM,        26
   11:49AM,    12:19PM,        26
   12:19PM,    12:49PM,        26
   12:49PM,    01:19PM,        26
   01:19PM,    01:49PM,        26
   01:48PM,    02:18PM,        26
   02:18PM,    02:48PM,        26
   02:49PM,    03:19PM,        26
   03:19PM,    03:49PM,        26
   03:49PM,    04:19PM,        26
   04:19PM,    04:49PM,        26
   04:48PM,    05:19PM,        26
   05:17PM,    05:48PM,        26
   05:48PM,    06:18PM,        26
   06:19PM,    06:48PM,        26
   06:47PM,    07:16PM,        26
   07:47PM,    08:16PM,        26
   08:51PM,    09:17PM,        26
   10:16PM,    10:39PM,        26
