Win & Camp, SC Transit Center, Bus route
   06:58AM,           07:20AM,        60
   07:57AM,           08:21AM,        60
   08:26AM,           08:51AM,        60
   08:56AM,           09:21AM,        60
   09:23AM,           09:49AM,        60
   09:54AM,           10:20AM,        60
   10:21AM,           10:49AM,        60
   10:48AM,           11:18AM,        60
   11:18AM,           11:48AM,        60
   11:49AM,           12:19PM,        60
   12:19PM,           12:49PM,        60
   12:48PM,           01:19PM,        60
   01:18PM,           01:49PM,        60
   01:47PM,           02:18PM,        60
   02:17PM,           02:48PM,        60
   02:44PM,           03:17PM,        60
   03:14PM,           03:47PM,        60
   03:45PM,           04:17PM,        60
   04:16PM,           04:47PM,        60
   04:47PM,           05:17PM,        60
   05:17PM,           05:47PM,        60
   05:49PM,           06:17PM,        60
   06:48PM,           07:15PM,        60
   07:58PM,           08:23PM,        60
