ECR & Cali, ECR & Wolfe, Bus route
   12:47AM,     01:14AM,        22
   02:05AM,     02:30AM,        22
   03:01AM,     03:25AM,        22
   03:42AM,     04:06AM,        22
   04:38AM,     05:04AM,        22
   05:36AM,     06:03AM,        22
   05:59AM,     06:27AM,        22
   06:22AM,     06:50AM,        22
   06:43AM,     07:13AM,        22
   07:02AM,     07:32AM,        22
   07:20AM,     07:51AM,        22
   07:40AM,     08:11AM,        22
   07:53AM,     08:26AM,        22
   08:07AM,     08:40AM,        22
   08:21AM,     08:54AM,        22
   08:35AM,     09:09AM,        22
   08:48AM,     09:23AM,        22
   09:02AM,     09:37AM,        22
   09:05AM,     09:32AM,       522
   09:16AM,     09:52AM,        22
   09:20AM,     09:47AM,       522
   09:30AM,     10:07AM,        22
   09:35AM,     10:02AM,       522
   09:45AM,     10:22AM,        22
   09:50AM,     10:17AM,       522
   09:59AM,     10:37AM,        22
   10:05AM,     10:33AM,       522
   10:14AM,     10:52AM,        22
   10:19AM,     10:48AM,       522
   10:27AM,     11:05AM,        22
   10:34AM,     11:03AM,       522
   10:41AM,     11:20AM,        22
   10:48AM,     11:18AM,       522
   10:56AM,     11:35AM,        22
   11:03AM,     11:35AM,       522
   11:08AM,     11:49AM,        22
   11:18AM,     11:50AM,       522
   11:23AM,     12:04PM,        22
   11:33AM,     12:05PM,       522
   11:36AM,     12:19PM,        22
   11:47AM,     12:19PM,       522
   11:51AM,     12:34PM,        22
   12:02PM,     12:35PM,       522
   12:06PM,     12:49PM,        22
   12:17PM,     12:50PM,       522
   12:21PM,     01:04PM,        22
   12:32PM,     01:05PM,       522
   12:36PM,     01:19PM,        22
   12:47PM,     01:19PM,       522
   12:51PM,     01:34PM,        22
   01:02PM,     01:33PM,       522
   01:06PM,     01:49PM,        22
   01:16PM,     01:48PM,       522
   01:21PM,     02:04PM,        22
   01:31PM,     02:03PM,       522
   01:36PM,     02:19PM,        22
   01:45PM,     02:18PM,       522
   01:50PM,     02:33PM,        22
   02:00PM,     02:32PM,       522
   02:05PM,     02:48PM,        22
   02:15PM,     02:48PM,       522
   02:20PM,     03:03PM,        22
   02:30PM,     03:03PM,       522
   02:35PM,     03:18PM,        22
   02:46PM,     03:17PM,       522
   02:50PM,     03:33PM,        22
   03:01PM,     03:32PM,       522
   03:05PM,     03:48PM,        22
   03:17PM,     03:47PM,       522
   03:20PM,     04:03PM,        22
   03:32PM,     04:04PM,       522
   03:35PM,     04:18PM,        22
   03:47PM,     04:19PM,       522
   03:50PM,     04:33PM,        22
   04:02PM,     04:35PM,       522
   04:05PM,     04:48PM,        22
   04:18PM,     04:50PM,       522
   04:21PM,     05:03PM,        22
   04:32PM,     05:04PM,       522
   04:36PM,     05:18PM,        22
   04:47PM,     05:19PM,       522
   04:52PM,     05:34PM,        22
   05:02PM,     05:35PM,       522
   05:08PM,     05:49PM,        22
   05:19PM,     05:52PM,       522
   05:24PM,     06:05PM,        22
   05:38PM,     06:12PM,       522
   05:40PM,     06:21PM,        22
   05:56PM,     06:37PM,        22
   06:01PM,     06:35PM,       522
   06:13PM,     06:52PM,        22
   06:28PM,     07:07PM,        22
   06:43PM,     07:22PM,        22
   06:58PM,     07:37PM,        22
   07:15PM,     07:54PM,        22
   07:32PM,     08:09PM,        22
   07:53PM,     08:29PM,        22
   08:15PM,     08:49PM,        22
   08:36PM,     09:10PM,        22
   08:57PM,     09:30PM,        22
   09:17PM,     09:50PM,        22
   09:38PM,     10:11PM,        22
   09:58PM,     10:31PM,        22
   10:19PM,     10:52PM,        22
   10:57PM,     11:28PM,        22
   11:23PM,     11:54PM,        22
   11:46PM,     12:15AM,        22
