ECR & Cali, SC Transit Center, Bus route
   12:47AM,           01:27AM,        22
   02:05AM,           02:42AM,        22
   03:01AM,           03:36AM,        22
   03:42AM,           04:19AM,        22
   04:38AM,           05:18AM,        22
   05:36AM,           06:18AM,        22
   05:59AM,           06:42AM,        22
   06:22AM,           07:06AM,        22
   06:43AM,           07:29AM,        22
   07:02AM,           07:48AM,        22
   07:20AM,           08:08AM,        22
   07:40AM,           08:28AM,        22
   07:53AM,           08:43AM,        22
   08:07AM,           08:57AM,        22
   08:21AM,           09:11AM,        22
   08:35AM,           09:26AM,        22
   08:48AM,           09:41AM,        22
   09:02AM,           09:56AM,        22
   09:05AM,           09:47AM,       522
   09:16AM,           10:11AM,        22
   09:20AM,           10:01AM,       522
   09:30AM,           10:26AM,        22
   09:35AM,           10:16AM,       522
   09:45AM,           10:41AM,        22
   09:50AM,           10:31AM,       522
   09:59AM,           10:56AM,        22
   10:05AM,           10:48AM,       522
   10:14AM,           11:11AM,        22
   10:19AM,           11:03AM,       522
   10:27AM,           11:25AM,        22
   10:34AM,           11:18AM,       522
   10:41AM,           11:40AM,        22
   10:48AM,           11:34AM,       522
   10:56AM,           11:55AM,        22
   11:03AM,           11:52AM,       522
   11:08AM,           12:10PM,        22
   11:18AM,           12:07PM,       522
   11:23AM,           12:25PM,        22
   11:33AM,           12:21PM,       522
   11:36AM,           12:40PM,        22
   11:47AM,           12:35PM,       522
   11:51AM,           12:55PM,        22
   12:02PM,           12:51PM,       522
   12:06PM,           01:10PM,        22
   12:17PM,           01:06PM,       522
   12:21PM,           01:25PM,        22
   12:32PM,           01:21PM,       522
   12:36PM,           01:40PM,        22
   12:47PM,           01:35PM,       522
   12:51PM,           01:55PM,        22
   01:02PM,           01:49PM,       522
   01:06PM,           02:10PM,        22
   01:16PM,           02:04PM,       522
   01:21PM,           02:25PM,        22
   01:31PM,           02:19PM,       522
   01:36PM,           02:40PM,        22
   01:45PM,           02:34PM,       522
   01:50PM,           02:55PM,        22
   02:00PM,           02:49PM,       522
   02:05PM,           03:10PM,        22
   02:15PM,           03:05PM,       522
   02:20PM,           03:25PM,        22
   02:30PM,           03:21PM,       522
   02:35PM,           03:40PM,        22
   02:46PM,           03:35PM,       522
   02:50PM,           03:55PM,        22
   03:01PM,           03:48PM,       522
   03:05PM,           04:10PM,        22
   03:17PM,           04:02PM,       522
   03:20PM,           04:25PM,        22
   03:32PM,           04:19PM,       522
   03:35PM,           04:40PM,        22
   03:47PM,           04:34PM,       522
   03:50PM,           04:55PM,        22
   04:02PM,           04:51PM,       522
   04:05PM,           05:10PM,        22
   04:18PM,           05:06PM,       522
   04:21PM,           05:25PM,        22
   04:32PM,           05:20PM,       522
   04:36PM,           05:40PM,        22
   04:47PM,           05:35PM,       522
   04:52PM,           05:55PM,        22
   05:02PM,           05:51PM,       522
   05:08PM,           06:10PM,        22
   05:19PM,           06:08PM,       522
   05:24PM,           06:26PM,        22
   05:38PM,           06:28PM,       522
   05:40PM,           06:41PM,        22
   05:56PM,           06:57PM,        22
   06:01PM,           06:52PM,       522
   06:13PM,           07:12PM,        22
   06:28PM,           07:27PM,        22
   06:43PM,           07:42PM,        22
   06:58PM,           07:57PM,        22
   07:15PM,           08:13PM,        22
   07:32PM,           08:28PM,        22
   07:53PM,           08:48PM,        22
   08:15PM,           09:08PM,        22
   08:36PM,           09:28PM,        22
   08:57PM,           09:48PM,        22
   09:17PM,           10:08PM,        22
   09:38PM,           10:28PM,        22
   09:58PM,           10:48PM,        22
   10:19PM,           11:09PM,        22
   10:57PM,           11:43PM,        22
   11:23PM,           12:09AM,        22
   11:46PM,           12:29AM,        22
