SC Transit Center, Win & Camp, Bus route
          08:10AM,    08:35AM,        60
          08:41AM,    09:07AM,        60
          09:41AM,    10:09AM,        60
          10:17AM,    10:45AM,        60
          10:47AM,    11:15AM,        60
          11:18AM,    11:47AM,        60
          11:48AM,    12:19PM,        60
          12:18PM,    12:50PM,        60
          12:48PM,    01:20PM,        60
          01:17PM,    01:50PM,        60
          01:47PM,    02:20PM,        60
          02:17PM,    02:50PM,        60
          02:47PM,    03:20PM,        60
          03:17PM,    03:50PM,        60
          03:47PM,    04:20PM,        60
          04:17PM,    04:50PM,        60
          04:47PM,    05:19PM,        60
          05:16PM,    05:48PM,        60
          05:47PM,    06:19PM,        60
          06:31PM,    07:03PM,        60
          07:16PM,    07:46PM,        60
          08:11PM,    08:39PM,        60
          09:12PM,    09:37PM,        60
