 ECR & Wolfe, ECR & Cali, Bus route
     12:30AM,    12:55AM,        22
     01:14AM,    01:39AM,        22
     02:11AM,    02:36AM,        22
     03:14AM,    03:38AM,        22
     04:07AM,    04:31AM,        22
     04:56AM,    05:25AM,        22
     05:22AM,    05:44AM,       522
     05:28AM,    05:57AM,        22
     05:51AM,    06:21AM,        22
     05:53AM,    06:16AM,       522
     06:08AM,    06:41AM,        22
     06:26AM,    07:00AM,        22
     06:27AM,    06:52AM,       522
     06:42AM,    07:19AM,        22
     06:47AM,    07:12AM,       522
     06:55AM,    07:33AM,        22
     07:06AM,    07:35AM,       522
     07:09AM,    07:50AM,        22
     07:23AM,    08:06AM,        22
     07:21AM,    07:50AM,       522
     07:36AM,    08:22AM,        22
     07:34AM,    08:09AM,       522
     07:48AM,    08:34AM,        22
     07:49AM,    08:27AM,       522
     08:04AM,    08:51AM,        22
     08:04AM,    08:42AM,       522
     08:16AM,    09:02AM,        22
     08:17AM,    08:57AM,       522
     08:28AM,    09:14AM,        22
     08:33AM,    09:13AM,       522
     08:40AM,    09:25AM,        22
     08:50AM,    09:27AM,       522
     08:52AM,    09:36AM,        22
     09:04AM,    09:47AM,        22
     09:05AM,    09:40AM,       522
     09:16AM,    10:00AM,        22
     09:22AM,    09:57AM,       522
     09:29AM,    10:13AM,        22
     09:37AM,    10:10AM,       522
     09:41AM,    10:24AM,        22
     09:49AM,    10:21AM,       522
     09:53AM,    10:35AM,        22
     10:05AM,    10:47AM,        22
     10:04AM,    10:36AM,       522
     10:17AM,    10:59AM,        22
     10:18AM,    10:50AM,       522
     10:29AM,    11:11AM,        22
     10:33AM,    11:05AM,       522
     10:41AM,    11:23AM,        22
     10:48AM,    11:21AM,       522
     10:53AM,    11:36AM,        22
     11:05AM,    11:48AM,        22
     11:04AM,    11:38AM,       522
     11:17AM,    12:01PM,        22
     11:20AM,    11:54AM,       522
     11:29AM,    12:14PM,        22
     11:34AM,    12:08PM,       522
     11:41AM,    12:26PM,        22
     11:53AM,    12:39PM,        22
     11:49AM,    12:24PM,       522
     12:06PM,    12:52PM,        22
     12:05PM,    12:41PM,       522
     12:19PM,    01:06PM,        22
     12:20PM,    12:56PM,       522
     12:32PM,    01:19PM,        22
     12:35PM,    01:11PM,       522
     12:44PM,    01:31PM,        22
     12:49PM,    01:25PM,       522
     12:56PM,    01:43PM,        22
     01:08PM,    01:55PM,        22
     01:04PM,    01:40PM,       522
     01:20PM,    02:07PM,        22
     01:19PM,    01:55PM,       522
     01:32PM,    02:19PM,        22
     01:34PM,    02:09PM,       522
     01:44PM,    02:29PM,        22
     01:56PM,    02:41PM,        22
     01:51PM,    02:26PM,       522
     02:08PM,    02:53PM,        22
     02:07PM,    02:40PM,       522
     02:20PM,    03:05PM,        22
     02:21PM,    02:54PM,       522
     02:32PM,    03:18PM,        22
     02:37PM,    03:12PM,       522
     02:44PM,    03:31PM,        22
     02:56PM,    03:43PM,        22
     02:53PM,    03:28PM,       522
     03:08PM,    03:55PM,        22
     03:08PM,    03:43PM,       522
     03:20PM,    04:07PM,        22
     03:24PM,    03:59PM,       522
     03:32PM,    04:19PM,        22
     03:44PM,    04:31PM,        22
     03:41PM,    04:15PM,       522
     03:55PM,    04:42PM,        22
     03:57PM,    04:31PM,       522
     04:07PM,    04:54PM,        22
     04:13PM,    04:46PM,       522
     04:19PM,    05:06PM,        22
     04:31PM,    05:18PM,        22
     04:29PM,    05:03PM,       522
     04:43PM,    05:30PM,        22
     04:44PM,    05:18PM,       522
     04:55PM,    05:42PM,        22
     05:00PM,    05:34PM,       522
     05:08PM,    05:55PM,        22
     05:21PM,    06:07PM,        22
     05:16PM,    05:51PM,       522
     05:33PM,    06:18PM,        22
     05:32PM,    06:08PM,       522
     05:45PM,    06:30PM,        22
     05:49PM,    06:24PM,       522
     05:57PM,    06:42PM,        22
     06:08PM,    06:52PM,        22
     06:07PM,    06:42PM,       522
     06:20PM,    07:01PM,        22
     06:24PM,    06:57PM,       522
     06:32PM,    07:13PM,        22
     06:36PM,    07:08PM,       522
     06:43PM,    07:22PM,        22
     06:54PM,    07:33PM,        22
     06:51PM,    07:23PM,       522
     07:06PM,    07:45PM,        22
     07:06PM,    07:36PM,       522
     07:17PM,    07:55PM,        22
     07:22PM,    07:51PM,       522
     07:29PM,    08:06PM,        22
     07:42PM,    08:18PM,        22
     07:40PM,    08:09PM,       522
     07:56PM,    08:32PM,        22
     07:57PM,    08:26PM,       522
     08:12PM,    08:48PM,        22
     08:14PM,    08:43PM,       522
     08:32PM,    09:08PM,        22
     08:31PM,    09:00PM,       522
     08:50PM,    09:24PM,        22
     08:48PM,    09:17PM,       522
     09:08PM,    09:42PM,        22
     09:08PM,    09:37PM,       522
     09:28PM,    10:01PM,        22
     09:38PM,    10:07PM,       522
     09:47PM,    10:20PM,        22
     10:06PM,    10:39PM,        22
     10:10PM,    10:38PM,       522
     10:25PM,    10:55PM,        22
     10:35PM,    11:00PM,       522
     10:45PM,    11:15PM,        22
     11:04PM,    11:33PM,        22
     11:30PM,    11:59PM,        22
     12:00AM,    12:27AM,        22
