SC Transit Center, ECR & Cali, Bus route
          12:15AM,    12:55AM,        22
          01:00AM,    01:39AM,        22
          01:58AM,    02:36AM,        22
          03:02AM,    03:38AM,        22
          03:55AM,    04:31AM,        22
          04:42AM,    05:25AM,        22
          05:10AM,    05:44AM,       522
          05:14AM,    05:57AM,        22
          05:37AM,    06:21AM,        22
          05:41AM,    06:16AM,       522
          05:53AM,    06:41AM,        22
          06:10AM,    07:00AM,        22
          06:15AM,    06:52AM,       522
          06:25AM,    07:19AM,        22
          06:33AM,    07:12AM,       522
          06:37AM,    07:33AM,        22
          06:51AM,    07:35AM,       522
          06:51AM,    07:50AM,        22
          07:03AM,    08:06AM,        22
          07:06AM,    07:50AM,       522
          07:16AM,    08:22AM,        22
          07:19AM,    08:09AM,       522
          07:28AM,    08:34AM,        22
          07:32AM,    08:27AM,       522
          07:42AM,    08:51AM,        22
          07:46AM,    08:42AM,       522
          07:54AM,    09:02AM,        22
          07:59AM,    08:57AM,       522
          08:06AM,    09:14AM,        22
          08:15AM,    09:13AM,       522
          08:18AM,    09:25AM,        22
          08:30AM,    09:27AM,       522
          08:30AM,    09:36AM,        22
          08:42AM,    09:47AM,        22
          08:45AM,    09:40AM,       522
          08:54AM,    10:00AM,        22
          09:02AM,    09:57AM,       522
          09:07AM,    10:13AM,        22
          09:18AM,    10:10AM,       522
          09:19AM,    10:24AM,        22
          09:31AM,    10:21AM,       522
          09:31AM,    10:35AM,        22
          09:43AM,    10:47AM,        22
          09:46AM,    10:36AM,       522
          09:55AM,    10:59AM,        22
          10:01AM,    10:50AM,       522
          10:07AM,    11:11AM,        22
          10:16AM,    11:05AM,       522
          10:19AM,    11:23AM,        22
          10:31AM,    11:21AM,       522
          10:31AM,    11:36AM,        22
          10:43AM,    11:48AM,        22
          10:46AM,    11:38AM,       522
          10:55AM,    12:01PM,        22
          11:02AM,    11:54AM,       522
          11:07AM,    12:14PM,        22
          11:17AM,    12:08PM,       522
          11:19AM,    12:26PM,        22
          11:31AM,    12:39PM,        22
          11:32AM,    12:24PM,       522
          11:43AM,    12:52PM,        22
          11:46AM,    12:41PM,       522
          11:55AM,    01:06PM,        22
          12:01PM,    12:56PM,       522
          12:08PM,    01:19PM,        22
          12:16PM,    01:11PM,       522
          12:20PM,    01:31PM,        22
          12:31PM,    01:25PM,       522
          12:32PM,    01:43PM,        22
          12:44PM,    01:55PM,        22
          12:46PM,    01:40PM,       522
          12:56PM,    02:07PM,        22
          01:01PM,    01:55PM,       522
          01:08PM,    02:19PM,        22
          01:16PM,    02:09PM,       522
          01:20PM,    02:29PM,        22
          01:32PM,    02:41PM,        22
          01:33PM,    02:26PM,       522
          01:44PM,    02:53PM,        22
          01:49PM,    02:40PM,       522
          01:56PM,    03:05PM,        22
          02:03PM,    02:54PM,       522
          02:08PM,    03:18PM,        22
          02:19PM,    03:12PM,       522
          02:20PM,    03:31PM,        22
          02:32PM,    03:43PM,        22
          02:34PM,    03:28PM,       522
          02:44PM,    03:55PM,        22
          02:49PM,    03:43PM,       522
          02:56PM,    04:07PM,        22
          03:05PM,    03:59PM,       522
          03:08PM,    04:19PM,        22
          03:20PM,    04:31PM,        22
          03:22PM,    04:15PM,       522
          03:31PM,    04:42PM,        22
          03:38PM,    04:31PM,       522
          03:43PM,    04:54PM,        22
          03:54PM,    04:46PM,       522
          03:55PM,    05:06PM,        22
          04:07PM,    05:18PM,        22
          04:10PM,    05:03PM,       522
          04:19PM,    05:30PM,        22
          04:25PM,    05:18PM,       522
          04:31PM,    05:42PM,        22
          04:41PM,    05:34PM,       522
          04:43PM,    05:55PM,        22
          04:56PM,    06:07PM,        22
          04:57PM,    05:51PM,       522
          05:08PM,    06:18PM,        22
          05:13PM,    06:08PM,       522
          05:20PM,    06:30PM,        22
          05:30PM,    06:24PM,       522
          05:32PM,    06:42PM,        22
          05:43PM,    06:52PM,        22
          05:48PM,    06:42PM,       522
          05:55PM,    07:01PM,        22
          06:05PM,    06:57PM,       522
          06:07PM,    07:13PM,        22
          06:18PM,    07:08PM,       522
          06:19PM,    07:22PM,        22
          06:31PM,    07:33PM,        22
          06:33PM,    07:23PM,       522
          06:43PM,    07:45PM,        22
          06:49PM,    07:36PM,       522
          06:55PM,    07:55PM,        22
          07:05PM,    07:51PM,       522
          07:07PM,    08:06PM,        22
          07:21PM,    08:18PM,        22
          07:23PM,    08:09PM,       522
          07:35PM,    08:32PM,        22
          07:41PM,    08:26PM,       522
          07:51PM,    08:48PM,        22
          07:58PM,    08:43PM,       522
          08:11PM,    09:08PM,        22
          08:15PM,    09:00PM,       522
          08:30PM,    09:24PM,        22
          08:32PM,    09:17PM,       522
          08:48PM,    09:42PM,        22
          08:52PM,    09:37PM,       522
          09:08PM,    10:01PM,        22
          09:22PM,    10:07PM,       522
          09:28PM,    10:20PM,        22
          09:48PM,    10:39PM,        22
          09:55PM,    10:38PM,       522
          10:07PM,    10:55PM,        22
          10:21PM,    11:00PM,       522
          10:27PM,    11:15PM,        22
          10:47PM,    11:33PM,        22
          11:14PM,    11:59PM,        22
          11:44PM,    12:27AM,        22
