Win & Camp, SC Transit Center, Bus route
   05:38AM,           06:00AM,        60
   06:06AM,           06:29AM,        60
   06:24AM,           06:47AM,        60
   06:40AM,           07:05AM,        60
   06:54AM,           07:20AM,        60
   07:08AM,           07:34AM,        60
   07:21AM,           07:50AM,        60
   07:36AM,           08:06AM,        60
   07:52AM,           08:22AM,        60
   08:16AM,           08:47AM,        60
   08:30AM,           09:01AM,        60
   08:44AM,           09:16AM,        60
   09:13AM,           09:43AM,        60
   09:43AM,           10:13AM,        60
   10:13AM,           10:43AM,        60
   10:43AM,           11:14AM,        60
   11:12AM,           11:43AM,        60
   11:40AM,           12:12PM,        60
   12:11PM,           12:43PM,        60
   12:46PM,           01:19PM,        60
   01:16PM,           01:50PM,        60
   01:46PM,           02:21PM,        60
   02:16PM,           02:50PM,        60
   02:30PM,           03:04PM,        60
   02:47PM,           03:19PM,        60
   03:02PM,           03:34PM,        60
   03:17PM,           03:48PM,        60
   03:31PM,           04:03PM,        60
   03:47PM,           04:18PM,        60
   04:01PM,           04:33PM,        60
   04:16PM,           04:48PM,        60
   04:30PM,           05:03PM,        60
   04:47PM,           05:19PM,        60
   05:01PM,           05:34PM,        60
   05:16PM,           05:49PM,        60
   05:42PM,           06:15PM,        60
   06:10PM,           06:43PM,        60
   06:36PM,           07:07PM,        60
   07:09PM,           07:38PM,        60
   07:46PM,           08:13PM,        60
   08:17PM,           08:43PM,        60
   09:20PM,           09:44PM,        60
