ECR & Cali, ECR & Wolfe, Bus route
   12:46AM,     01:13AM,        22
   02:06AM,     02:32AM,        22
   02:59AM,     03:24AM,        22
   03:43AM,     04:08AM,        22
   04:32AM,     04:57AM,        22
   05:02AM,     05:27AM,        22
   05:29AM,     05:56AM,        22
   05:44AM,     06:08AM,       522
   05:59AM,     06:28AM,        22
   06:01AM,     06:25AM,       522
   06:15AM,     06:40AM,       522
   06:21AM,     06:51AM,        22
   06:29AM,     06:55AM,       522
   06:40AM,     07:11AM,        22
   06:45AM,     07:11AM,       522
   06:59AM,     07:25AM,       522
   07:00AM,     07:34AM,        22
   07:12AM,     07:41AM,       522
   07:20AM,     07:57AM,        22
   07:26AM,     07:55AM,       522
   07:31AM,     08:09AM,        22
   07:42AM,     08:11AM,       522
   07:42AM,     08:21AM,        22
   07:54AM,     08:33AM,        22
   07:56AM,     08:26AM,       522
   08:06AM,     08:46AM,        22
   08:10AM,     08:41AM,       522
   08:17AM,     08:58AM,        22
   08:25AM,     08:56AM,       522
   08:29AM,     09:10AM,        22
   08:41AM,     09:11AM,       522
   08:41AM,     09:22AM,        22
   08:53AM,     09:34AM,        22
   08:57AM,     09:27AM,       522
   09:06AM,     09:46AM,        22
   09:12AM,     09:41AM,       522
   09:18AM,     09:58AM,        22
   09:27AM,     09:56AM,       522
   09:30AM,     10:10AM,        22
   09:42AM,     10:22AM,        22
   09:43AM,     10:13AM,       522
   09:51AM,     10:31AM,        22
   09:59AM,     10:29AM,       522
   10:03AM,     10:43AM,        22
   10:14AM,     10:45AM,       522
   10:15AM,     10:55AM,        22
   10:26AM,     11:06AM,        22
   10:30AM,     11:01AM,       522
   10:38AM,     11:18AM,        22
   10:46AM,     11:17AM,       522
   10:49AM,     11:30AM,        22
   10:59AM,     11:41AM,        22
   11:01AM,     11:33AM,       522
   11:11AM,     11:53AM,        22
   11:15AM,     11:48AM,       522
   11:22AM,     12:05PM,        22
   11:29AM,     12:03PM,       522
   11:32AM,     12:17PM,        22
   11:42AM,     12:17PM,       522
   11:44AM,     12:29PM,        22
   11:56AM,     12:41PM,        22
   11:57AM,     12:33PM,       522
   12:08PM,     12:54PM,        22
   12:13PM,     12:49PM,       522
   12:20PM,     01:06PM,        22
   12:29PM,     01:04PM,       522
   12:33PM,     01:18PM,        22
   12:45PM,     01:18PM,       522
   12:45PM,     01:30PM,        22
   12:57PM,     01:42PM,        22
   01:01PM,     01:35PM,       522
   01:09PM,     01:54PM,        22
   01:17PM,     01:52PM,       522
   01:21PM,     02:06PM,        22
   01:32PM,     02:07PM,       522
   01:33PM,     02:18PM,        22
   01:44PM,     02:29PM,        22
   01:46PM,     02:21PM,       522
   01:56PM,     02:41PM,        22
   02:02PM,     02:37PM,       522
   02:08PM,     02:53PM,        22
   02:16PM,     02:51PM,       522
   02:19PM,     03:04PM,        22
   02:29PM,     03:16PM,        22
   02:31PM,     03:07PM,       522
   02:41PM,     03:28PM,        22
   02:46PM,     03:22PM,       522
   02:53PM,     03:40PM,        22
   03:01PM,     03:38PM,       522
   03:05PM,     03:52PM,        22
   03:16PM,     04:04PM,        22
   03:17PM,     03:54PM,       522
   03:27PM,     04:15PM,        22
   03:33PM,     04:10PM,       522
   03:37PM,     04:25PM,        22
   03:48PM,     04:36PM,        22
   03:49PM,     04:26PM,       522
   03:58PM,     04:47PM,        22
   04:05PM,     04:42PM,       522
   04:10PM,     05:00PM,        22
   04:21PM,     05:00PM,       522
   04:23PM,     05:13PM,        22
   04:34PM,     05:17PM,       522
   04:35PM,     05:25PM,        22
   04:47PM,     05:39PM,        22
   04:49PM,     05:32PM,       522
   04:58PM,     05:52PM,        22
   05:05PM,     05:50PM,       522
   05:11PM,     06:05PM,        22
   05:21PM,     06:06PM,       522
   05:24PM,     06:19PM,        22
   05:36PM,     06:31PM,        22
   05:37PM,     06:19PM,       522
   05:50PM,     06:43PM,        22
   05:51PM,     06:33PM,       522
   06:06PM,     06:45PM,       522
   06:06PM,     06:56PM,        22
   06:22PM,     07:01PM,       522
   06:22PM,     07:10PM,        22
   06:37PM,     07:24PM,        22
   06:39PM,     07:14PM,       522
   06:55PM,     07:40PM,        22
   06:56PM,     07:31PM,       522
   07:12PM,     07:46PM,       522
   07:17PM,     07:58PM,        22
   07:32PM,     08:05PM,       522
   07:37PM,     08:18PM,        22
   07:51PM,     08:22PM,       522
   07:58PM,     08:36PM,        22
   08:11PM,     08:42PM,       522
   08:18PM,     08:56PM,        22
   08:39PM,     09:17PM,        22
   08:41PM,     09:12PM,       522
   08:59PM,     09:37PM,        22
   09:08PM,     09:38PM,       522
   09:21PM,     09:58PM,        22
   09:38PM,     10:07PM,       522
   09:42PM,     10:19PM,        22
   10:06PM,     10:40PM,        22
   10:07PM,     10:35PM,       522
   10:30PM,     11:01PM,        22
   10:56PM,     11:27PM,        22
   11:20PM,     11:50PM,        22
   11:46PM,     12:14AM,        22
