ECR & Cali, SC Transit Center, Bus route
   12:46AM,           01:26AM,        22
   02:06AM,           02:45AM,        22
   02:59AM,           03:37AM,        22
   03:43AM,           04:22AM,        22
   04:32AM,           05:11AM,        22
   05:02AM,           05:41AM,        22
   05:29AM,           06:11AM,        22
   05:44AM,           06:21AM,       522
   05:59AM,           06:44AM,        22
   06:01AM,           06:39AM,       522
   06:15AM,           06:54AM,       522
   06:21AM,           07:08AM,        22
   06:29AM,           07:09AM,       522
   06:40AM,           07:30AM,        22
   06:45AM,           07:25AM,       522
   06:59AM,           07:39AM,       522
   07:00AM,           07:54AM,        22
   07:12AM,           07:56AM,       522
   07:20AM,           08:18AM,        22
   07:26AM,           08:12AM,       522
   07:31AM,           08:30AM,        22
   07:42AM,           08:28AM,       522
   07:42AM,           08:42AM,        22
   07:54AM,           08:54AM,        22
   07:56AM,           08:43AM,       522
   08:06AM,           09:06AM,        22
   08:10AM,           08:58AM,       522
   08:17AM,           09:18AM,        22
   08:25AM,           09:13AM,       522
   08:29AM,           09:30AM,        22
   08:41AM,           09:28AM,       522
   08:41AM,           09:42AM,        22
   08:53AM,           09:54AM,        22
   08:57AM,           09:44AM,       522
   09:06AM,           10:06AM,        22
   09:12AM,           09:58AM,       522
   09:18AM,           10:18AM,        22
   09:27AM,           10:13AM,       522
   09:30AM,           10:30AM,        22
   09:42AM,           10:42AM,        22
   09:43AM,           10:30AM,       522
   09:51AM,           10:52AM,        22
   09:59AM,           10:46AM,       522
   10:03AM,           11:04AM,        22
   10:14AM,           11:02AM,       522
   10:15AM,           11:16AM,        22
   10:26AM,           11:27AM,        22
   10:30AM,           11:18AM,       522
   10:38AM,           11:39AM,        22
   10:46AM,           11:34AM,       522
   10:49AM,           11:51AM,        22
   10:59AM,           12:03PM,        22
   11:01AM,           11:50AM,       522
   11:11AM,           12:15PM,        22
   11:15AM,           12:05PM,       522
   11:22AM,           12:27PM,        22
   11:29AM,           12:20PM,       522
   11:32AM,           12:39PM,        22
   11:42AM,           12:34PM,       522
   11:44AM,           12:51PM,        22
   11:56AM,           01:03PM,        22
   11:57AM,           12:50PM,       522
   12:08PM,           01:16PM,        22
   12:13PM,           01:06PM,       522
   12:20PM,           01:28PM,        22
   12:29PM,           01:21PM,       522
   12:33PM,           01:40PM,        22
   12:45PM,           01:35PM,       522
   12:45PM,           01:52PM,        22
   12:57PM,           02:04PM,        22
   01:01PM,           01:53PM,       522
   01:09PM,           02:16PM,        22
   01:17PM,           02:10PM,       522
   01:21PM,           02:28PM,        22
   01:32PM,           02:26PM,       522
   01:33PM,           02:40PM,        22
   01:44PM,           02:52PM,        22
   01:46PM,           02:39PM,       522
   01:56PM,           03:04PM,        22
   02:02PM,           02:55PM,       522
   02:08PM,           03:16PM,        22
   02:16PM,           03:09PM,       522
   02:19PM,           03:28PM,        22
   02:29PM,           03:40PM,        22
   02:31PM,           03:25PM,       522
   02:41PM,           03:52PM,        22
   02:46PM,           03:41PM,       522
   02:53PM,           04:04PM,        22
   03:01PM,           03:58PM,       522
   03:05PM,           04:16PM,        22
   03:16PM,           04:28PM,        22
   03:17PM,           04:14PM,       522
   03:27PM,           04:39PM,        22
   03:33PM,           04:30PM,       522
   03:37PM,           04:49PM,        22
   03:48PM,           05:00PM,        22
   03:49PM,           04:47PM,       522
   03:58PM,           05:12PM,        22
   04:05PM,           05:03PM,       522
   04:10PM,           05:25PM,        22
   04:21PM,           05:21PM,       522
   04:23PM,           05:38PM,        22
   04:34PM,           05:39PM,       522
   04:35PM,           05:50PM,        22
   04:47PM,           06:03PM,        22
   04:49PM,           05:54PM,       522
   04:58PM,           06:16PM,        22
   05:05PM,           06:12PM,       522
   05:11PM,           06:28PM,        22
   05:21PM,           06:25PM,       522
   05:24PM,           06:42PM,        22
   05:36PM,           06:54PM,        22
   05:37PM,           06:38PM,       522
   05:50PM,           07:06PM,        22
   05:51PM,           06:52PM,       522
   06:06PM,           07:04PM,       522
   06:06PM,           07:18PM,        22
   06:22PM,           07:20PM,       522
   06:22PM,           07:31PM,        22
   06:37PM,           07:45PM,        22
   06:39PM,           07:30PM,       522
   06:55PM,           08:01PM,        22
   06:56PM,           07:47PM,       522
   07:12PM,           08:02PM,       522
   07:17PM,           08:18PM,        22
   07:32PM,           08:21PM,       522
   07:37PM,           08:37PM,        22
   07:51PM,           08:38PM,       522
   07:58PM,           08:55PM,        22
   08:11PM,           08:58PM,       522
   08:18PM,           09:15PM,        22
   08:39PM,           09:36PM,        22
   08:41PM,           09:28PM,       522
   08:59PM,           09:56PM,        22
   09:08PM,           09:53PM,       522
   09:21PM,           10:16PM,        22
   09:38PM,           10:21PM,       522
   09:42PM,           10:37PM,        22
   10:06PM,           10:57PM,        22
   10:07PM,           10:49PM,       522
   10:30PM,           11:17PM,        22
   10:56PM,           11:42PM,        22
   11:20PM,           12:05AM,        22
   11:46PM,           12:27AM,        22
