SC Transit Center, Win & Camp, Bus route
          06:34AM,    07:03AM,        60
          07:07AM,    07:37AM,        60
          07:46AM,    08:17AM,        60
          08:24AM,    08:57AM,        60
          08:57AM,    09:30AM,        60
          09:25AM,    09:58AM,        60
          09:55AM,    10:28AM,        60
          10:23AM,    10:56AM,        60
          10:53AM,    11:26AM,        60
          11:23AM,    11:56AM,        60
          11:53AM,    12:28PM,        60
          12:23PM,    12:58PM,        60
          12:55PM,    01:29PM,        60
          01:24PM,    01:58PM,        60
          01:54PM,    02:29PM,        60
          02:24PM,    02:59PM,        60
          02:54PM,    03:30PM,        60
          03:25PM,    04:01PM,        60
          03:55PM,    04:30PM,        60
          04:25PM,    05:00PM,        60
          04:56PM,    05:31PM,        60
          05:28PM,    06:03PM,        60
          06:00PM,    06:35PM,        60
          06:19PM,    06:54PM,        60
          06:42PM,    07:15PM,        60
          07:13PM,    07:44PM,        60
          07:36PM,    08:04PM,        60
          08:11PM,    08:39PM,        60
          08:44PM,    09:09PM,        60
          09:43PM,    10:08PM,        60
          10:40PM,    11:05PM,        60
